         161612884 function calls (161609367 primitive calls) in 197.602 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.057    0.057  197.602  197.602 C:\Users\abhi_\01 - IPYNB books\Internshala\Numan\file_combine.py:42(combine)
        7    0.000    0.000  196.887   28.127 C:\Python39\lib\site-packages\pandas\util\_decorators.py:286(wrapper)
        7    0.000    0.000  196.887   28.127 C:\Python39\lib\site-packages\pandas\io\excel\_base.py:302(read_excel)
        7    0.000    0.000  192.140   27.449 C:\Python39\lib\site-packages\pandas\io\excel\_base.py:1136(parse)
        7    0.043    0.006  192.140   27.449 C:\Python39\lib\site-packages\pandas\io\excel\_base.py:439(parse)
        7    2.840    0.406  190.063   27.152 C:\Python39\lib\site-packages\pandas\io\excel\_openpyxl.py:531(get_sheet_data)
   416695    1.571    0.000  113.297    0.000 C:\Python39\lib\site-packages\openpyxl\worksheet\_read_only.py:58(_cells_by_row)
   416695    7.517    0.000   97.095    0.000 C:\Python39\lib\site-packages\openpyxl\worksheet\_reader.py:113(parse)
   416688    3.371    0.000   72.519    0.000 C:\Python39\lib\site-packages\pandas\io\excel\_openpyxl.py:549(<listcomp>)
  4583568   20.452    0.000   69.147    0.000 C:\Python39\lib\site-packages\pandas\io\excel\_openpyxl.py:508(_convert_cell)
   416688    2.593    0.000   51.778    0.000 C:\Python39\lib\site-packages\openpyxl\worksheet\_reader.py:265(parse_row)
   416688    3.548    0.000   47.937    0.000 C:\Python39\lib\site-packages\openpyxl\worksheet\_reader.py:286(<listcomp>)
  4583568    4.975    0.000   45.391    0.000 C:\Python39\lib\site-packages\openpyxl\cell\read_only.py:99(is_date)
  4583568   19.708    0.000   44.389    0.000 C:\Python39\lib\site-packages\openpyxl\worksheet\_reader.py:177(parse_cell)
  4583568    5.859    0.000   40.415    0.000 C:\Python39\lib\site-packages\openpyxl\cell\cell.py:246(is_date)
9752083/9751943    4.379    0.000   37.295    0.000 C:\Python39\lib\xml\etree\ElementTree.py:1251(iterator)
  3333812    7.109    0.000   23.596    0.000 C:\Python39\lib\site-packages\openpyxl\styles\numbers.py:104(is_date_format)
    12041    0.038    0.000   17.389    0.001 C:\Python39\lib\xml\etree\ElementTree.py:1295(feed)
    12076   17.358    0.001   17.358    0.001 {method 'feed' of 'xml.etree.ElementTree.XMLParser' objects}
   416688    8.438    0.000   14.629    0.000 C:\Python39\lib\site-packages\openpyxl\worksheet\_read_only.py:101(_get_row)
  9764138    9.419    0.000   13.419    0.000 C:\Python39\lib\xml\etree\ElementTree.py:1319(read_events)
  3333812    3.789    0.000   11.881    0.000 C:\Python39\lib\re.py:198(search)
  3333448    6.797    0.000   10.962    0.000 C:\Python39\lib\site-packages\openpyxl\cell\read_only.py:64(number_format)
  4583568    9.149    0.000   10.264    0.000 C:\Python39\lib\site-packages\openpyxl\utils\cell.py:193(coordinate_to_tuple)
  4583568    4.678    0.000    6.191    0.000 C:\Python39\lib\site-packages\openpyxl\cell\read_only.py:14(__init__)
  3333819    3.252    0.000    4.866    0.000 C:\Python39\lib\re.py:289(_compile)
        7    0.000    0.000    4.745    0.678 C:\Python39\lib\site-packages\pandas\io\excel\_base.py:1041(__init__)
        7    0.000    0.000    4.727    0.675 C:\Python39\lib\site-packages\pandas\io\excel\_openpyxl.py:459(__init__)
        7    0.000    0.000    4.726    0.675 C:\Python39\lib\site-packages\pandas\io\excel\_base.py:377(__init__)
        7    0.000    0.000    4.722    0.675 C:\Python39\lib\site-packages\pandas\io\excel\_openpyxl.py:483(load_workbook)
        7    0.000    0.000    4.722    0.675 C:\Python39\lib\site-packages\openpyxl\reader\excel.py:288(load_workbook)
        7    0.001    0.000    4.713    0.673 C:\Python39\lib\site-packages\openpyxl\reader\excel.py:275(read)
  3750129    4.407    0.000    4.407    0.000 C:\Python39\lib\site-packages\openpyxl\worksheet\_reader.py:78(_cast_number)
        7    0.003    0.000    4.207    0.601 C:\Python39\lib\site-packages\openpyxl\reader\excel.py:139(read_strings)
        7    0.392    0.056    4.204    0.601 C:\Python39\lib\site-packages\openpyxl\reader\strings.py:9(read_string_table)
   416681    3.352    0.000    4.149    0.000 C:\Python39\lib\site-packages\openpyxl\utils\datetime.py:103(from_excel)
13910114/13910086    3.917    0.000    3.923    0.000 {built-in method builtins.isinstance}
 13751145    3.566    0.000    3.566    0.000 {method 'get' of 'xml.etree.ElementTree.Element' objects}
  3333812    3.424    0.000    3.424    0.000 {method 'sub' of 're.Pattern' objects}
 14090710    3.304    0.000    3.304    0.000 C:\Python39\lib\site-packages\openpyxl\cell\read_only.py:108(value)
  3334183    3.227    0.000    3.227    0.000 {method 'search' of 're.Pattern' objects}
85785/84133    0.572    0.000    2.762    0.000 C:\Python39\lib\site-packages\openpyxl\descriptors\serialisable.py:46(from_tree)
  3333448    2.298    0.000    2.298    0.000 C:\Python39\lib\site-packages\openpyxl\cell\read_only.py:54(style_array)
  4583568    2.294    0.000    2.294    0.000 {method 'findtext' of 'xml.etree.ElementTree.Element' objects}
    12097    0.116    0.000    2.112    0.000 C:\Python39\lib\zipfile.py:897(read)
        7    0.008    0.001    2.030    0.290 C:\Python39\lib\site-packages\pandas\io\parsers.py:1055(read)
    12083    0.213    0.000    1.981    0.000 C:\Python39\lib\zipfile.py:979(_read1)
  9751929    1.907    0.000    1.907    0.000 {method 'popleft' of 'collections.deque' objects}
        7    0.006    0.001    1.791    0.256 C:\Python39\lib\site-packages\pandas\io\parsers.py:2463(read)
    83916    0.256    0.000    1.583    0.000 C:\Python39\lib\site-packages\openpyxl\cell\text.py:161(__init__)
  4583568    1.513    0.000    1.513    0.000 C:\Python39\lib\site-packages\openpyxl\cell\read_only.py:112(value)
   500660    1.427    0.000    1.427    0.000 {method 'clear' of 'xml.etree.ElementTree.Element' objects}
  3334183    1.334    0.000    1.334    0.000 C:\Python39\lib\site-packages\openpyxl\styles\cell_style.py:26(__get__)
   416688    0.788    0.000    1.248    0.000 C:\Python39\lib\site-packages\openpyxl\worksheet\_reader.py:281(<setcomp>)
  3334358    1.182    0.000    1.182    0.000 {method 'split' of 'str' objects}
  4583882    1.115    0.000    1.115    0.000 {method 'upper' of 'str' objects}
    12083    0.954    0.000    0.954    0.000 {method 'decompress' of 'zlib.Decompress' objects}
        7    0.000    0.000    0.863    0.123 C:\Python39\lib\site-packages\pandas\io\parsers.py:2532(_convert_data)
        7    0.002    0.000    0.863    0.123 C:\Python39\lib\site-packages\pandas\io\parsers.py:1656(_convert_to_ndarrays)
       77    0.002    0.000    0.859    0.011 C:\Python39\lib\site-packages\pandas\io\parsers.py:1729(_infer_types)
        7    0.000    0.000    0.656    0.094 C:\Python39\lib\site-packages\pandas\core\frame.py:7849(append)
        7    0.000    0.000    0.656    0.094 C:\Python39\lib\site-packages\pandas\core\reshape\concat.py:82(concat)
    19694    0.190    0.000    0.617    0.000 {built-in method builtins.max}
    86191    0.164    0.000    0.612    0.000 C:\Python39\lib\site-packages\openpyxl\descriptors\nested.py:28(__set__)
       77    0.598    0.008    0.599    0.008 {pandas._libs.lib.maybe_convert_numeric}
  1737954    0.534    0.000    0.534    0.000 {method 'get' of 'dict' objects}
   168812    0.379    0.000    0.534    0.000 C:\Python39\lib\site-packages\openpyxl\descriptors\sequence.py:23(__set__)
417083/417076    0.289    0.000    0.517    0.000 {built-in method builtins.all}
        7    0.000    0.000    0.488    0.070 C:\Python39\lib\site-packages\pandas\io\parsers.py:3139(_rows_to_cols)
    83916    0.236    0.000    0.471    0.000 C:\Python39\lib\site-packages\openpyxl\cell\text.py:173(content)
   841503    0.463    0.000    0.463    0.000 {method 'startswith' of 'str' objects}
    93625    0.181    0.000    0.454    0.000 C:\Python39\lib\site-packages\openpyxl\descriptors\base.py:64(__set__)
   416681    0.454    0.000    0.454    0.000 {built-in method builtins.divmod}
        7    0.013    0.002    0.432    0.062 C:\Python39\lib\site-packages\pandas\io\parsers.py:3217(_get_lines)
        7    0.000    0.000    0.427    0.061 C:\Python39\lib\site-packages\pandas\core\reshape\concat.py:469(get_result)
        7    0.050    0.007    0.425    0.061 C:\Python39\lib\site-packages\pandas\core\internals\concat.py:35(concatenate_block_managers)
   181986    0.283    0.000    0.422    0.000 C:\Python39\lib\site-packages\openpyxl\descriptors\base.py:38(__set__)
       28    0.270    0.010    0.411    0.015 C:\Python39\lib\site-packages\pandas\io\parsers.py:3011(_remove_empty_lines)
     7598    0.046    0.000    0.408    0.000 C:\Python39\lib\zipfile.py:1015(_read2)
    12083    0.028    0.000    0.382    0.000 C:\Python39\lib\zipfile.py:932(_update_crc)
   833376    0.365    0.000    0.365    0.000 C:\Python39\lib\site-packages\pandas\io\excel\_openpyxl.py:550(<genexpr>)
    12279    0.355    0.000    0.355    0.000 {built-in method zlib.crc32}
